Price,Item,Link
$0,x3 Microwave Oven Transformers,Offerup/Facebook Marketplace
$23,"2x 17"" Plywood Sheets",https://www.amazon.com/Pack-Plywood-Basswood-Unfinished-Engraving/dp/B0F8HFGF25 
$5,x4 PVC Risers,https://www.amazon.com/Orbit-WaterMaster-Underground-38106-1-Inch/dp/B00004S21N/?th=1 
$39.50,x100 0.1uF 2kV Film Capacitors,"https://www.aliexpress.us/item/3256805941421604.html 
"
$11.56,2W 1M Resistors x100,https://www.aliexpress.us/item/3256806984212226.html 
$2,Fused AC Inlet,https://www.aliexpress.us/item/2251832643407093.html
$10,Spray-on Insulation,https://www.amazon.com/Minwax-33050000-Fast-Drying-Polyurethane-Aerosol/dp/B0009XELPS 
$10,Pie Pans,https://www.amazon.com/Waytiffer-Pie-Pans-10pack-Disposable/dp/B09G6CTWLG/
$10,Aluminum Ducting,https://www.amazon.com/dp/B0D4V5TWM1/ref=twister_B0D8PJ1Q1V
$25,26AWG Magnet Wire,https://www.amazon.com/Enamelled-Copper-Magnet-Wire-1LB/dp/B0978CM2NP/ 
$18,Copper Tubing,https://www.amazon.com/XIFOWE-Copper-Tube-Wall-Refrigeration/dp/B0B6RQ73JQ
$6,Self-Tapping M5 Screws,https://www.amazon.com/HanTof-Tapping-Phillips-Plastic-Piececs/dp/B0CM5M7LMF 
$8,Copper Rod,https://www.amazon.com/HWYEE-99-98-Lengther-Working-Hobbies/dp/B0D2CNM46K
$12,Grounding Wire,https://www.amazon.com/Mandala-Crafts-Anodized-Aluminum-Sculpting/dp/B00O1555DM/?th=1
$21,PVC Pipe,https://www.amazon.com/Charlotte-Pipe-PVC-07400-0200/dp/B002KIBR34/?th=1
,,
$201.60,,
